Type,Age Category,Capacity (MW),Country/area,Capacity %
Coal,0-9 years,581.9416,World,27.0256328092528
Coal,0-9 years,5.125,Bangladesh,97.61904761904762
Coal,0-9 years,0.3,Bosnia and Herzegovina,15.07537688442211
Coal,0-9 years,0.345,Brazil,11.511511511511511
Coal,0-9 years,0.22,Brunei,100.0
Coal,0-9 years,0.053,Bulgaria,1.1599912453490917
Coal,0-9 years,1.085,Cambodia,74.57044673539518
Coal,0-9 years,0.925,Chile,24.17668583376895
Coal,0-9 years,371.8618,China,31.36462887252524
Coal,0-9 years,0.443,Colombia,26.913730255164037
Coal,0-9 years,1.41,Czech Republic,20.724322417543654
Coal,0-9 years,0.752,Dominican Republic,70.67669172932331
Coal,0-9 years,1.1,Germany,3.797018305080066
Coal,0-9 years,0.66,Greece,39.879154078549846
Coal,0-9 years,0.3,Guatemala,68.3371298405467
Coal,0-9 years,69.462,India,28.355575041117664
Coal,0-9 years,32.425,Indonesia,56.18941334266792
Coal,0-9 years,11.3645,Japan,21.442452830188678
Coal,0-9 years,0.625,Kazakhstan,4.763356451489979
Coal,0-9 years,0.3,Kyrgyzstan,36.90036900369004
Coal,0-9 years,0.626,Laos,33.33333333333333
Coal,0-9 years,4.6,Malaysia,34.63855421686747
Coal,0-9 years,0.27,Mongolia,23.580786026200876
Coal,0-9 years,1.736,Morocco,42.42424242424242
Coal,0-9 years,0.03,Myanmar,20.0
Coal,0-9 years,1.1,Netherlands,31.428571428571434
Coal,0-9 years,0.03,Niger,100.0
Coal,0-9 years,0.195,Nigeria,56.60377358490566
Coal,0-9 years,0.8,North Korea,24.615384615384617
Coal,0-9 years,8.3295,Pakistan,100.0
Coal,0-9 years,6.3978,Philippines,50.60589761437701
Coal,0-9 years,4.466,Poland,16.084999099585808
Coal,0-9 years,1.661,Russia,4.466002188636834
Coal,0-9 years,0.125,Senegal,80.64516129032259
Coal,0-9 years,0.35,Serbia,7.314524555903866
Coal,0-9 years,7.974,South Africa,18.030892658075576
Coal,0-9 years,18.341,South Korea,43.41578885075157
Coal,0-9 years,4.049,Taiwan,22.248475190944557
Coal,0-9 years,0.3,Tajikistan,74.99999999999999
Coal,0-9 years,0.805,Thailand,13.115021179537308
Coal,0-9 years,5.57,Türkiye,27.2062989664537
Coal,0-9 years,0.15,Uzbekistan,6.01684717208183
Coal,0-9 years,14.26,Vietnam,52.553991302425
Coal,0-9 years,0.3,Zambia,90.90909090909092
Coal,0-9 years,0.72,Zimbabwe,43.113772455089816
Coal,10-19 years,839.8793999999999,World,39.00438165694901
Coal,10-19 years,1.33,Australia,5.877413937867339
Coal,10-19 years,0.125,Bangladesh,2.380952380952381
Coal,10-19 years,0.6,Botswana,81.9672131147541
Coal,10-19 years,1.795,Brazil,59.89322655989323
Coal,10-19 years,0.811,Bulgaria,17.75005471656818
Coal,10-19 years,0.37,Cambodia,25.42955326460481
Coal,10-19 years,0.11,Canada,3.570501168527655
Coal,10-19 years,2.263,Chile,59.147935180345016
Coal,10-19 years,606.1831999999999,China,51.128432919863606
Coal,10-19 years,0.164,Colombia,9.963547995139734
Coal,10-19 years,0.165,Czech Republic,2.4251866658827685
Coal,10-19 years,7.127,Germany,24.601226782096024
Coal,10-19 years,121.8945,India,49.759417261949224
Coal,10-19 years,16.8966,Indonesia,29.28018632184187
Coal,10-19 years,1.98,Italy,38.150289017341045
Coal,10-19 years,4.5878000000000005,Japan,8.656226415094341
Coal,10-19 years,1.044,Kazakhstan,7.95671061656886
Coal,10-19 years,1.252,Laos,66.66666666666666
Coal,10-19 years,0.12,Madagascar,100.0
Coal,10-19 years,4.77,Malaysia,35.91867469879518
Coal,10-19 years,0.09,Mauritius,46.15384615384615
Coal,10-19 years,0.678,Mexico,12.60691706954258
Coal,10-19 years,0.175,Mongolia,15.283842794759824
Coal,10-19 years,0.7,Morocco,17.106549364613883
Coal,10-19 years,2.4,Netherlands,68.57142857142857
Coal,10-19 years,0.37,New Caledonia,100.0
Coal,10-19 years,0.1495,Nigeria,43.39622641509433
Coal,10-19 years,2.3735999999999997,Philippines,18.77491615516041
Coal,10-19 years,2.094,Poland,7.541869259859535
Coal,10-19 years,3.6064000000000003,Russia,9.696682897712149
Coal,10-19 years,0.03,Senegal,19.35483870967742
Coal,10-19 years,0.208,Slovakia,75.91240875912408
Coal,10-19 years,0.6,Slovenia,56.12722170252572
Coal,10-19 years,0.7948,South Africa,1.797210118464819
Coal,10-19 years,8.947,South Korea,21.178837732276005
Coal,10-19 years,0.9,Sri Lanka,100.0
Coal,10-19 years,0.797,Taiwan,4.3793615033793065
Coal,10-19 years,0.1,Tajikistan,25.0
Coal,10-19 years,2.522,Thailand,41.08830237862496
Coal,10-19 years,6.497199999999999,Türkiye,31.73514643533985
Coal,10-19 years,20.6448,United States,10.87236785560808
Coal,10-19 years,11.584,Vietnam,42.69182575366698
Coal,10-19 years,0.03,Zambia,9.090909090909092
Coal,20-29 years,269.2088,World,12.502179218360702
Coal,20-29 years,4.133,Australia,18.264174289628354
Coal,20-29 years,0.363,Brazil,12.112112112112113
Coal,20-29 years,0.486,Chile,12.702561421850497
Coal,20-29 years,164.5488,China,13.878844354056753
Coal,20-29 years,0.165,Colombia,10.024301336573513
Coal,20-29 years,0.217,Croatia,100.0
Coal,20-29 years,0.6196,Czech Republic,9.106943382914928
Coal,20-29 years,0.411,Denmark,100.0
Coal,20-29 years,0.052,Dominican Republic,4.887218045112782
Coal,20-29 years,6.715,Germany,23.1790708351024
Coal,20-29 years,0.375,Greece,22.65861027190332
Coal,20-29 years,0.064,Guadeloupe,100.0
Coal,20-29 years,0.139,Guatemala,31.662870159453306
Coal,20-29 years,0.35,Hong Kong,8.51581508515815
Coal,20-29 years,17.9652,India,7.333701545142482
Coal,20-29 years,5.544,Indonesia,9.607219971372427
Coal,20-29 years,1.675,Israel,38.72832369942196
Coal,20-29 years,0.35,Italy,6.74373795761079
Coal,20-29 years,19.2653,Japan,36.349622641509434
Coal,20-29 years,0.03,Kazakhstan,0.22864110967151896
Coal,20-29 years,0.1,Kyrgyzstan,12.300123001230014
Coal,20-29 years,3.31,Malaysia,24.924698795180724
Coal,20-29 years,0.105,Mauritius,53.84615384615385
Coal,20-29 years,0.35,Mexico,6.507995537374487
Coal,20-29 years,0.696,Morocco,17.008797653958947
Coal,20-29 years,0.12,Myanmar,80.0
Coal,20-29 years,3.271,Philippines,25.873251914193503
Coal,20-29 years,1.787,Poland,6.43616063389159
Coal,20-29 years,1.5639,Russia,4.2049252394997865
Coal,20-29 years,4.143,South Africa,9.368195169602094
Coal,20-29 years,11.0,South Korea,26.03858444786365
Coal,20-29 years,0.26,Spain,12.291981845688351
Coal,20-29 years,9.794,Taiwan,53.81614374416176
Coal,20-29 years,0.806,Thailand,13.131313131313133
Coal,20-29 years,2.692,Türkiye,13.148897094738487
Coal,20-29 years,4.893,United States,2.5768472408301526
Coal,20-29 years,0.85,Vietnam,3.1326011645905503
Coal,30-39 years,160.9531,World,7.47473523135474
Coal,30-39 years,6.178,Australia,27.30125060762738
Coal,30-39 years,0.23,Bosnia and Herzegovina,11.557788944723619
Coal,30-39 years,0.132,Botswana,18.0327868852459
Coal,30-39 years,0.464,Bulgaria,10.155395053622238
Coal,30-39 years,1.113,Canada,36.12698000519345
Coal,30-39 years,0.152,Chile,3.9728175640355468
Coal,30-39 years,39.345,China,3.3185482428942836
Coal,30-39 years,0.211,Colombia,12.818955042527339
Coal,30-39 years,0.132,Dominican Republic,12.406015037593985
Coal,30-39 years,0.614,Finland,62.44914564686738
Coal,30-39 years,3.7874,Germany,13.073479207872946
Coal,30-39 years,0.31,Greece,18.73111782477341
Coal,30-39 years,3.41,Hong Kong,82.9683698296837
Coal,30-39 years,25.0795,India,10.237880340959236
Coal,30-39 years,2.041,Indonesia,3.536857135925527
Coal,30-39 years,1.15,Israel,26.589595375722542
