Country,Type,Age Category,Capacity (MW),Capacity %
Afghanistan,Oil and gas,0-9 years,0.0,0.0
Afghanistan,Oil and gas,10-19 years,0.105,22.705360690872688
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.035005857740585775,7.569720250413122
Afghanistan,Utility-scale solar,10-19 years,0.01044,2.257561577263913
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.1,21.62415303892637
Afghanistan,Hydropower,10-19 years,0.0,0.0
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,45.843204442523906
African Union,Coal,0-9 years,11.08,4.566092154520223
African Union,Coal,10-19 years,2.5143,1.0361485112012814
African Union,Coal,20-29 years,4.944,2.0374331779736448
African Union,Coal,30-39 years,15.284,6.2985697192858385
African Union,Coal,40-49 years,12.0983,4.985735804425272
African Union,Coal,50+ years,6.092,2.510526480626101
African Union,Oil and gas,0-9 years,48.6516,20.04943042101589
African Union,Oil and gas,10-19 years,47.8674,19.726259891451388
African Union,Oil and gas,20-29 years,11.114799999999999,4.5804333103846
African Union,Oil and gas,30-39 years,9.863,4.064563801447019
African Union,Oil and gas,40-49 years,6.466,2.664652695950159
African Union,Oil and gas,50+ years,0.395,0.16278036110428595
African Union,Utility-scale solar,0-9 years,10.943890330687324,4.510001063075913
African Union,Utility-scale solar,10-19 years,1.3008746592407656,0.5360932829939917
African Union,Utility-scale solar,20-29 years,0.0,0.0
African Union,Utility-scale solar,30-39 years,0.0,0.0
African Union,Utility-scale solar,40-49 years,0.0,0.0
African Union,Utility-scale solar,50+ years,0.0,0.0
African Union,Wind,0-9 years,6.365399999999999,2.6231952166410677
African Union,Wind,10-19 years,2.6022,1.0723722928242352
African Union,Wind,20-29 years,0.214,0.088189866522322
African Union,Wind,30-39 years,0.0,0.0
African Union,Wind,40-49 years,0.0,0.0
African Union,Wind,50+ years,0.0,0.0
African Union,Hydropower,0-9 years,12.111,4.99096950211141
African Union,Hydropower,10-19 years,6.273,2.585116975208065
African Union,Hydropower,20-29 years,2.365,0.9746216557256614
African Union,Hydropower,30-39 years,2.131,0.8781897456031224
African Union,Hydropower,40-49 years,6.731,2.773859773653035
African Union,Hydropower,50+ years,11.984,4.938632525250032
African Union,Nuclear,0-9 years,0.0,0.0
African Union,Nuclear,10-19 years,0.0,0.0
African Union,Nuclear,20-29 years,0.0,0.0
African Union,Nuclear,30-39 years,0.0,0.0
African Union,Nuclear,40-49 years,1.94,0.7994782292210499
African Union,Nuclear,50+ years,0.0,0.0
African Union,Bioenergy,0-9 years,0.181,0.07459049458196393
African Union,Bioenergy,10-19 years,0.295,0.1215701431032009
African Union,Bioenergy,20-29 years,0.0,0.0
African Union,Bioenergy,30-39 years,0.0,0.0
African Union,Bioenergy,40-49 years,0.0,0.0
African Union,Bioenergy,50+ years,0.034,0.014011474120368916
African Union,Geothermal,0-9 years,0.308,0.12692747144334193
African Union,Geothermal,10-19 years,0.3795,0.15639277731411774
African Union,Geothermal,20-29 years,0.129,0.05316118122139971
African Union,Geothermal,30-39 years,0.0,0.0
African Union,Geothermal,40-49 years,0.0,0.0
African Union,Geothermal,50+ years,0.0,0.0
Albania,Utility-scale solar,0-9 years,0.19302,10.006117095727365
Albania,Utility-scale solar,10-19 years,0.0,0.0
Albania,Utility-scale solar,20-29 years,0.0,0.0
Albania,Utility-scale solar,30-39 years,0.0,0.0
Albania,Utility-scale solar,40-49 years,0.0,0.0
Albania,Utility-scale solar,50+ years,0.0,0.0
Albania,Hydropower,0-9 years,0.341,17.677369856196414
Albania,Hydropower,10-19 years,0.045,2.33279074348633
Albania,Hydropower,20-29 years,0.0,0.0
Albania,Hydropower,30-39 years,0.0,0.0
Albania,Hydropower,40-49 years,1.1,57.02377372966584
Albania,Hydropower,50+ years,0.25,12.959948574924054
Algeria,Oil and gas,0-9 years,9.6706,39.77247516088163
Algeria,Oil and gas,10-19 years,8.691,35.74365412934278
Algeria,Oil and gas,20-29 years,1.947,8.00746687260734
Algeria,Oil and gas,30-39 years,2.496,10.26535044377397
Algeria,Oil and gas,40-49 years,0.504,2.0728111473005133
Algeria,Oil and gas,50+ years,0.395,1.6245246094914738
Algeria,Utility-scale solar,0-9 years,0.38280555555555557,1.5743722674684948
Algeria,Utility-scale solar,10-19 years,0.0464,0.19083023260861867
Algeria,Utility-scale solar,20-29 years,0.0,0.0
Algeria,Utility-scale solar,30-39 years,0.0,0.0
Algeria,Utility-scale solar,40-49 years,0.0,0.0
Algeria,Utility-scale solar,50+ years,0.0,0.0
Algeria,Wind,0-9 years,0.0,0.0
Algeria,Wind,10-19 years,0.01,0.04112720530358161
Algeria,Wind,20-29 years,0.0,0.0
