Country,Parent,Capacity (GW),Type
Global,Drax Power Ltd,2.58,Bioenergy
Global,Ørsted A/S,1.987,Bioenergy
Global,Suzano SA,1.166,Bioenergy
Global,National Bio Energy Group Ltd,1.05,Bioenergy
Global,International Paper Co,1.003,Bioenergy
Global,Klabin SA,0.785,Bioenergy
Global,Metsä Fibre Oy,0.773,Bioenergy
Global,Arauco Bioenergía SA,0.71,Bioenergy
Global,RWE AG,0.693,Bioenergy
Global,Kaidi Ecological and Environmental Technology Co Ltd,0.69,Bioenergy
Global,UPM SA,0.58,Bioenergy
Global,Energetický a průmyslový holding AS,0.57,Bioenergy
Global,Bracell SP Celulose Ltda,0.565,Bioenergy
Global,PT Riau Prima Energy,0.535,Bioenergy
Global,natural person(s),0.532,Bioenergy
Global,Georgia-Pacific LLC,0.458,Bioenergy
Global,Wheelabrator Environmental Systems Inc,0.448,Bioenergy
Global,Biosev SA,0.445,Bioenergy
Global,Huaneng Power International Inc,75.98477,Coal
Global,NTPC Ltd,61.2067,Coal
Global,China Energy Investment Corp,59.690940000000005,Coal
Global,China Shenhua Energy Co Ltd,49.87730166666667,Coal
Global,Eskom Holdings SOC Ltd,43.7318,Coal
Global,China Huadian Corp Ltd,40.068059999999996,Coal
Global,GD POWER Development Co Ltd,39.145035,Coal
Global,Huadian Power International Co Ltd,38.197015,Coal
Global,Datang International Power Generation Co Ltd,38.03226,Coal
Global,China Datang Corp Ltd,37.85448,Coal
Global,China Resources Power Holdings Co Ltd,36.91572,Coal
Global,Korea Electric Power Corp,35.844,Coal
Global,State Power Investment Corp Ltd,33.54613,Coal
Global,Zhejiang Zheneng Electric Power Co Ltd,30.73026,Coal
Global,China Huaneng Group Co Ltd,26.320439999999998,Coal
Global,Beijing Jingneng Power Co Ltd,20.80211,Coal
Global,PT PLN (Persero),18.12584,Coal
Global,Adani Power Ltd,15.498,Coal
Global,An Hui Wenergy Co Ltd,15.30166,Coal
Global,Energy Development CORP (EDC),1.172,Geothermal
Global,TO BE DELETED] Corp,1.163,Geothermal
Global,Ormat Technology Inc,0.97466,Geothermal
Global,Comision Federal De Electricidad,0.915,Geothermal
Global,Contact Energy Ltd,0.7795,Geothermal
Global,AboitizPower Corp,0.692,Geothermal
Global,Pertamina Geothermal Energy,0.67,Geothermal
Global,Kenya Electricity Generating Company PLC,0.6345,Geothermal
Global,Star Energy Geothermal,0.5229,Geothermal
Global,Orkuveita Reykjavikur,0.423,Geothermal
Global,Enel Green Power,0.4,Geothermal
Global,CalEnergy Operating Corp,0.381,Geothermal
Global,Sarulla Operations Ltd,0.33,Geothermal
Global,Zorlu Enerji,0.306,Geothermal
Global,Atlantica Sustainable Infrastructure,0.27,Geothermal
Global,Mogan Enerji Yatirim Holding,0.258,Geothermal
Global,KS Orka Renewables Pte Ltd,0.22640000000000002,Geothermal
